,mantel_r,"p_value (Hommola test based on all data, includes monophyletic clades of MAGs)*","p_value (Hommola test based on subsampled data, includes one MAG per host species)**","p_value (PACo test based on subsampled data, includes one MAG per host species)**",symbiont_tips_count (number of MAGs  in clade),host_tips_count (number of host species with MAGs represented in clade),host_tip_span (total number of host species spanned by host clade),symbiont_subtree,host_subtree,host_clade_depth,symbiont_clade_depth,taxonomic assignment of clade
170,0.928244559,0.001,0.018,0.013,13,5,23,"((('VincentC_2016__MM103_3_megahit__bin_6':0.0755124367,'CM_periimplantitis__SP_287SPT_T016__bin_35':0.0489869876)100:0.0784048834,('AmatoKR_2018__qiita_sid_11212_11212_AsenLink4__bin_14':0.0238097482,((('AmatoKR_2018__qiita_sid_11212_11212_APF39__bin_8':1.0008e-06,'AmatoKR_2018__qiita_sid_11212_11212_APF103__bin_10':0.0011325333)100:0.0010254259,('AmatoKR_2018__qiita_sid_11212_11212_APF37__bin_6':0.0053905648,'AmatoKR_2018__qiita_sid_11212_11212_APF104__bin_2':0.0007243903)100:0.0051070548)100:0.0189779567,('AmatoKR_2018__qiita_sid_11212_11212_Apalw14__bin_13':0.000687608,'AmatoKR_2018__qiita_sid_11212_11212_APAL36__bin_9':0.008526449)100:0.0131315078)100:0.009514052)100:0.1215916451)100:0.0331611808,((('AmatoKR_2018__qiita_sid_11212_11212_PVQui__bin_6':1.0008e-06,'AmatoKR_2018__qiita_sid_11212_11212_PVAbb__bin_6':0.0019094757)100:0.0884012996,'AmatoKR_2018__qiita_sid_11212_11212_PVAbb__bin_16':0.1059767191)100:0.0227293252,'AmatoKR_2018__qiita_sid_11212_11212_PVLou__bin_25':0.1363851854)100:0.066357607)100:0.0303101631;","(('Propithecus_verreauxi':38.36398632,('Lemur_catta':19.5138425,'Eulemur_rubriventer':19.5138425)14:18.85014382)13:35.47290803,(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598);",148.1737887,0.396485247,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__
171,0.932178251,0.001,0.016,0.018,14,5,20,"(((('BackhedF_2015__SID18_B__bin_7':0.0240055554,'ZeeviD_2015__PNP_Main_347_megahit__bin_46':0.0310840552)100:0.0078762174,'TungJ_2015__F20__bin_8':0.0334077286)100:0.0303423077,(('H04_WC32_S32__DASTool_bins_concoct_119':0.0151032785,'B04_WC26_S26__DASTool_bins_metabat2_215':0.0240978643)100:0.0142432613,'C04_WC27_S27__DASTool_bins_concoct_006_sub':0.015858027)100:0.0414280755)100:0.0195149695,(((('OrkinJD_2019__SSR118__bin_22':0.0049173043,('OrkinJD_2019__SSR091__bin_6':0.0004758297,'OrkinJD_2019__SSR116__bin_10':0.0191387072)64:0.0007086849)64:0.0014764666,'OrkinJD_2019__SSR102__bin_6':0.0014721589)64:0.0005376689,('OrkinJD_2019__SSR047__bin_7':0.0201820946,'OrkinJD_2019__SSR056__bin_15':0.0006280566)99:0.001578893)64:0.002848928,('OrkinJD_2019__SSR013__bin_16':0.0187001555,'OrkinJD_2019__SSR012__bin_4':0.0010549312)64:0.0025193851)100:0.0781774382)100:0.0258171657;","(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598;",86.80259271,0.202172064,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__
172,0.938696216,0.001,0.039,0.03,10,5,5,"(('RampelliS_2015__H14__bin_60':0.0796671925,((((('H04_WC32_S32__DASTool_bins_metabat2_114':1.0008e-06,'G04_WC31_S31__DASTool_bins_maxbin2_109':0.0057798521)100:0.0011376609,'B05_WC34_S34__DASTool_bins_concoct_074_sub':0.0024008569)100:0.0012056004,('D05_WC36_S36__DASTool_bins_concoct_052_sub':1.0008e-06,'C05_WC35_S35__DASTool_bins_maxbin2_164':0.0007083578)100:0.0029906842)100:0.0042918701,'D04_WC28_S28__DASTool_bins_metabat2_012':0.0002358834)100:0.0055571076,'E01_WC5_S5__DASTool_bins_concoct_247':0.0025349133)100:0.0658727439)100:0.1205193266,('HicksAL_2018__WDG_0027__bin_37':2.3475e-06,'HicksAL_2018__WDG_0028__bin_24':0.0002321747)100:0.2045498566)100:0.6539938767;","('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513;",18.62619104,0.409146193,d__Bacteria;p__Other;c__Bradimonadia;o__Bradymonadales;f__UBA4248;g__;s__
173,0.96508144,0.001,0.065,0.038,19,5,5,"(((((('HicksAL_2018__WDG_0018__bin_36':0.0016756176,'HicksAL_2018__WDG_0092__bin_13':2.8894e-06)79:0.0004134998,('HicksAL_2018__WDG_0027__bin_47':1.0008e-06,'HicksAL_2018__WDG_0028__bin_32':1.0008e-06)100:0.0008255846)44:0.0004123201,'HicksAL_2018__WDG_0132__bin_10':0.001031367)44:0.00040418,'HicksAL_2018__WDG_0058__bin_11':0.0009278469)44:0.0002519703,'HicksAL_2018__WDG_0154__bin_16':0.0017120534)100:0.0479967418,('Bengtsson_PalmeJ_2015__TRAVELRES63__bin_96':0.0332045453,((((('H04_WC32_S32__DASTool_bins_metabat2_186':0.0004701892,'G04_WC31_S31__DASTool_bins_concoct_066':0.009150048)100:0.002322453,(('E01_WC5_S5__DASTool_bins_metabat2_052':0.0038880687,'WC9_119':0.0004934548)87:0.0004564358,('D04_WC28_S28__DASTool_bins_concoct_071':1.0008e-06,('D01_WC4_S4__DASTool_bins_maxbin2_117':2.0584e-06,('WC6_WC6_054_sub':0.02772615,'WC3_24':1.0008e-06)100:0.0014436423)87:0.0002285402)87:2.346e-06)100:0.0027382685)100:0.0002207665,'B05_WC34_S34__DASTool_bins_metabat2_027':0.0006755026)100:0.0061305185,'D05_WC36_S36__DASTool_bins_concoct_183_sub':0.0003415112)100:0.0003271727,'C05_WC35_S35__DASTool_bins_concoct_098':0.0006975574)100:0.0229199516)100:0.0266214574)100:0.2609093025;","('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513;",18.62619104,0.139513143,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-448;s__
174,0.969871582,0.001,0.021,0.013,13,5,23,"(((('AmatoKR_2018__qiita_sid_11212_11212_PVPet__bin_2':1.0008e-06,'AmatoKR_2018__qiita_sid_11212_11212_PVPam__bin_12':1.0008e-06)100:1.0007e-06,'AmatoKR_2018__qiita_sid_11212_11212_PVQui__bin_18':1.0008e-06)100:0.0015958608,'AmatoKR_2018__qiita_sid_11212_11212_PVLou__bin_24':0.0032194886)100:0.1209538362,(((('AmatoKR_2018__qiita_sid_11212_11212_APF36__bin_2':0.0010954206,'AmatoKR_2018__qiita_sid_11212_11212_APF39__bin_15':0.0009795734)100:0.002195548,((('AmatoKR_2018__qiita_sid_11212_11212_APAL39__bin_9':1.0008e-06,'AmatoKR_2018__qiita_sid_11212_11212_APAL37__bin_16':0.0005493587)78:0.0007634423,'AmatoKR_2018__qiita_sid_11212_11212_APAL38__bin_10':1.0008e-06)78:0.0002706484,('AmatoKR_2018__qiita_sid_11212_11212_Apalw13__bin_8':0.0103462911,'AmatoKR_2018__qiita_sid_11212_11212_Apalw14__bin_9':0.0005586738)78:0.0005004468)100:0.0002324527)100:0.0021620942,'AmatoKR_2018__qiita_sid_11212_11212_Asen685__bin_5':0.0056189717)100:0.0568274722,'AmatoKR_2018__qiita_sid_11212_11212_Ahyb1000__bin_13':0.0657422845)100:0.0366332172)100:0.0170972872;","(('Propithecus_verreauxi':38.36398632,('Lemur_catta':19.5138425,'Eulemur_rubriventer':19.5138425)14:18.85014382)13:35.47290803,(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598);",148.1737887,0.230875299,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__;s__
175,0.986548526,0.001,0.015,0.018,8,5,20,"(('Obregon_TitoAJ_2015__SM02__bin_26':0.0136956829,((('D05_WC36_S36__DASTool_bins_concoct_042':1.0008e-06,'C05_WC35_S35__DASTool_bins_metabat2_209':0.0019270852)98:0.0002642749,'B05_WC34_S34__DASTool_bins_concoct_019':0.0051066006)100:0.0028001414,'B04_WC26_S26__DASTool_bins_concoct_062_sub':0.0016869239)100:0.0122278751)100:0.0355036102,(('AmatoKR_2018__qiita_sid_11212_11212_APF39__bin_3':0.0231670688,'AmatoKR_2018__qiita_sid_11212_11212_APF105__bin_11':2.4888e-06)100:0.0024026911,'AmatoKR_2018__qiita_sid_11212_11212_Asen685__bin_2':0.001237443)100:0.0770742841)100:0.0520350378;","(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598;",86.80259271,0.158282271,d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__
176,0.99258944,0.001,0.034,0.03,14,5,23,"((('TungJ_2015__F02__bin_79':1.0008e-06,('TungJ_2015__M01__bin_92':0.0006563795,'TungJ_2015__F31__bin_82':0.0007400561)100:0.0005307652)100:0.0911467667,(((('G03_WC23_S23__DASTool_bins_113':0.0007179305,('B04_WC26_S26__DASTool_bins_metabat2_318':0.0002394315,'A04_WC25_S25__DASTool_bins_concoct_028':1.0008e-06)100:0.0016748811)100:0.0029490673,'E04_WC29_S29__DASTool_bins_0':0.0052277074)100:0.0026642645,(('E01_WC5_S5__DASTool_bins_metabat2_229_sub':0.0009045646,('D04_WC28_S28__DASTool_bins_maxbin2_049_sub':0.0007627007,'A01_WC1_S1__DASTool_bins_concoct_072':0.0006729393)100:0.0004764421)100:0.0028613417,'B01_WC2_S2__DASTool_bins_metabat2_068':0.0089827194)100:0.0032589918)100:0.0159926658,('C05_WC35_S35__DASTool_bins_concoct_114_sub':0.0080541336,'A05_WC33_S33__DASTool_bins_concoct_036':0.0021060944)100:0.0193693322)100:0.0766828169)100:0.0941423174,'AmatoKR_2018__qiita_sid_11212_11212_Lc308__bin_22':0.212432398)100:0.1027780383;","(('Propithecus_verreauxi':38.36398632,('Lemur_catta':19.5138425,'Eulemur_rubriventer':19.5138425)14:18.85014382)13:35.47290803,(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598);",148.1737887,0.411491909,d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-288;g__UBA7642;s__
177,0.756866831,0.014,0.072,0.08,18,5,20,"((((((('YuJ_2015__SZAXPI015253_44__bin_3':0.0414818655,(('G03_WC23_S23__DASTool_bins_G03_WC23_S23__bin_21_sub':0.0031568099,'C04_WC27_S27__DASTool_bins_metabat2_135':0.0011198002)100:0.0024719529,'B04_WC26_S26__DASTool_bins_metabat2_026':0.0038996728)100:0.0255320044)100:0.0210971918,(('XieH_2016__YSZC12003_37797__bin_107':0.0464959244,'Bengtsson_PalmeJ_2015__TRAVELRES48__bin_112':0.0483261052)100:0.0151684219,'CosteaPI_2017__mickey4_11_0_0__bin_50':0.0425627608)100:0.0135574753)100:0.0199379285,('XieH_2016__YSZC12003_37103__bin_46':0.0141792128,'C04_WC27_S27__DASTool_bins_metabat2_246':0.0136167641)100:0.0397817371)100:0.0180057736,(('s02_bin_440_filtered':0.0199937875,('BritoIL_2016__M1_65_ST__bin_43':0.0371061933,'BritoIL_2016__M1_35_ST__bin_39':0.0029529774)76:0.0009678198)76:0.0030195675,('B04_WC26_S26__DASTool_bins_metabat2_386':0.0115232242,'ZeeviD_2015__PNP_Main_581_megahit__bin_38':0.0057724102)100:0.0055392131)100:0.0858225903)100:0.0319263229,'A05_WC33_S33__DASTool_bins_metabat2_073_sub':0.07859922)100:0.0175341275,('XieH_2016__YSZC12003_37101__bin_42':0.0585979042,'E02_WC13_S13__DASTool_bins_metabat2_546_sub':0.0485211898)100:0.041524954)100:0.0683531121,'AmatoKR_2018__qiita_sid_11212_11212_APF38__bin_18':0.2090023883)100:0.0272176008;","(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598;",86.80259271,0.453732122,d__Bacteria;p__Firmicutes;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__
178,0.765156469,0.001,0.089,0.053,22,5,5,"((('ZeeviD_2015__PNP_Main_412_megahit__bin_33':0.0659658622,('XieH_2016__YSZC12003_37102__bin_5':0.0454566014,('LeChatelierE_2013__MH0421__bin_14':0.0383401688,'XieH_2016__YSZC12003_36703__bin_47':0.0318421807)100:0.014502164)100:0.0295914995)100:0.033477773,'LiJ_2017__H3M516105__bin_26':0.0962013187)100:0.024587582,(('HicksAL_2018__WDG_0033__bin_26':0.0024677,('HicksAL_2018__WDG_0087__bin_9':0.0039906848,'HicksAL_2018__WDG_0127__bin_8':0.004419034)100:0.0024327588)100:0.0744262015,((('F03_WC22_S22__DASTool_bins_concoct_297':0.0030138317,('B04_WC26_S26__DASTool_bins_concoct_160':0.0005959657,'A04_WC25_S25__DASTool_bins_concoct_254':0.0008125244)100:0.0073064375)100:0.0017276449,('E04_WC29_S29__DASTool_bins_240':0.0006829864,'WC29_45':0.0116928042)100:0.0066458243)100:0.0212871424,(((((('F02_WC14_S14__DASTool_bins_metabat2_004':1.0008e-06,'E02_WC13_S13__DASTool_bins_maxbin2_002':0.0079878825)100:0.0009325656,(('F01_WC6_S6__DASTool_bins_35':0.0038002247,'WC5_bin_91':0.0011323722)100:0.0025590029,'D01_WC4_S4__DASTool_bins_metabat2_008':0.0014052533)100:0.0006144288)100:0.0011119872,'D02_WC12_S12__DASTool_bins_D02_WC12_S12__bin_48':0.0008669508)100:0.0009091442,'C03_WC19_S19__DASTool_bins_concoct_004':0.0016922833)100:0.0015983029,'B01_WC2_S2__DASTool_bins_metabat2_017':0.0027068002)100:0.0144821917,'C05_WC35_S35__DASTool_bins_concoct_113':0.0119246867)100:0.0177022275)100:0.0786854237)100:0.0994036269)100:0.0724234234;","('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513;",18.62619104,0.36331254,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__;s__
179,0.78059187,0.001,0.228,0.263,23,5,12,"(((((('WC34_88':1.0008e-06,('A05_WC33_S33__DASTool_bins_concoct_021':2.88592e-05,'WC33_29':0.0434052238)100:0.0012641147)100:0.0162812797,('E01_WC5_S5__DASTool_bins_concoct_115_sub':0.0034845994,'WC16_8':0.0221622044)100:0.0094951254)100:0.0121547538,'F04_WC30_S30__DASTool_bins_metabat2_004_sub':0.0229747743)100:0.0346170393,'FengQ_2015__SID530451__bin_4':0.0320514273)100:0.009339187,((((((('TungJ_2015__F02__bin_19':0.0002174417,('TungJ_2015__F06__bin_24':0.0004948111,((('TungJ_2015__F25__bin_31':1.0008e-06,'TungJ_2015__F26__bin_10':0.0023998528)87:0.0003620363,'TungJ_2015__F21__bin_11':0.0059963259)73:2.5445e-06,'TungJ_2015__F15__bin_9':0.0003060414)73:0.0003261929)67:2.5445e-06)67:0.0002175762,'TungJ_2015__M16__bin_9':1.0008e-06)53:2.3736e-06,('TungJ_2015__F27__bin_22':0.000219467,'TungJ_2015__F13__bin_30':0.000220443)86:0.0002165279)81:0.0002164673,('TungJ_2015__M03__bin_29':1.0008e-06,'TungJ_2015__F29__bin_27':0.0004598762)58:1.0007e-06)69:2.0234e-06,'TungJ_2015__M01__bin_140':0.0004583157)87:0.0002238617,'TungJ_2015__F31__bin_33':0.0007799467)100:0.0022698213,'TungJ_2015__M15__bin_17':0.0016642147)100:0.0327920082)100:0.0064921028,('E02_WC13_S13__DASTool_bins_concoct_008_sub':0.0534197008,'RampelliS_2015__H24__bin_23':0.045487322)100:0.010960864)100:0.0064158714;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.187934266,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__
180,0.800894667,0.003,0.097,0.122,12,5,20,"(((((('Lib4_7_bin_5_filtered':0.0075919345,'Bengtsson_PalmeJ_2015__TRAVELRES53_megahit__bin_58':0.0049140087)77:0.0046842279,('CM_madagascar__A89_02_1FE__bin_61':0.0307122718,('BritoIL_2016__W2_45_ST__bin_41':0.0144150423,'AmatoKR_2018__qiita_sid_11212_11212_RC2068__bin_31':0.0186720982)77:0.0062528379)77:0.0011265817)77:0.0018015427,'BritoIL_2016__W3_19_ST__bin_32':0.0036307799)100:0.0043962929,((('H04_WC32_S32__DASTool_bins_metabat2_064':0.0041187338,'F03_WC22_S22__DASTool_bins_metabat2_209':0.0097498074)100:0.0001724337,'E04_WC29_S29__DASTool_bins_E04_WC29_S29__bin_68_sub':0.0183390153)100:0.0048295895,'B04_WC26_S26__DASTool_bins_metabat2_536':0.0014340768)100:0.0203879811)100:0.0113933635,'A05_WC33_S33__DASTool_bins_concoct_197':0.0250385444)100:0.0254982923,'AmatoKR_2018__qiita_sid_11212_11212_AsenLink4__bin_10':0.0930057237)100:0.0508260127;","(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598;",86.80259271,0.173453965,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__
181,0.810153852,0.001,0.081,0.094,18,5,12,"((((((('TungJ_2015__F03__bin_24':0.0006247595,'TungJ_2015__F05__bin_4':0.0007956679)100:0.0025946122,'TungJ_2015__M16__bin_70':0.0022466275)100:0.0010091612,'TungJ_2015__F06__bin_27':0.0005113318)100:0.0014965322,('TungJ_2015__F31__bin_99':0.0029920001,'TungJ_2015__F18__bin_21':0.0029072545)100:0.0008827045)100:0.0118734395,(('TungJ_2015__M10__bin_4':1.0008e-06,(('TungJ_2015__M11__bin_22':0.0002443504,'TungJ_2015__F14__bin_29':0.0007612056)100:0.0002782464,'TungJ_2015__F17__bin_40':2.4488e-06)100:0.0014379997)100:0.0023892256,'TungJ_2015__F24__bin_23':0.0086515987)100:0.0028983529)100:0.0108083509,('AmatoKR_2018__qiita_sid_11212_11212_RC2068__bin_15':0.0153338656,'E02_WC13_S13__DASTool_bins_concoct_356_sub':0.0090158734)100:0.0084171966)100:0.0381273108,(('G04_WC31_S31__DASTool_bins_concoct_096_sub':0.0025990793,'C05_WC35_S35__DASTool_bins_concoct_164':0.0022405227)100:0.0026855115,(('D04_WC28_S28__DASTool_bins_concoct_050_sub':0.0010962707,'D01_WC4_S4__DASTool_bins_metabat2_010':0.0009059838)100:0.0009499913,'WC17_WC17_052':0.0043116805)100:0.0064792517)100:0.0847497403)100:0.0182121898;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.162245747,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16;s__
